time;value
2022-08-12T08:00:00.000Z;0.48476
2022-08-12T10:00:00.000Z;0.356162
2022-08-12T12:00:00.000Z;0.241429
2022-08-12T14:00:00.000Z;0.414965
2022-08-12T16:00:00.000Z;0.389528
2022-08-12T18:00:00.000Z;0.666733
2022-08-12T20:00:00.000Z;0.693139
2022-08-12T22:00:00.000Z;0.771434
2022-08-13T00:00:00.000Z;0.577645
2022-08-13T02:00:00.000Z;0.705571
2022-08-13T04:00:00.000Z;0.467902
2022-08-13T06:00:00.000Z;0.684819
2022-08-13T08:00:00.000Z;0.648076
2022-08-13T10:00:00.000Z;0.727992
2022-08-13T12:00:00.000Z;0.56769
2022-08-13T14:00:00.000Z;0.67583
2022-08-13T16:00:00.000Z;0.433237
2022-08-13T18:00:00.000Z;0.729613
2022-08-13T20:00:00.000Z;0.798115
2022-08-13T22:00:00.000Z;0.69317
2022-08-14T00:00:00.000Z;0.556002
2022-08-14T02:00:00.000Z;0.452421
2022-08-14T04:00:00.000Z;0.499977
2022-08-14T06:00:00.000Z;0.309171
2022-08-14T08:00:00.000Z;0.809047
2022-08-14T10:00:00.000Z;0.956342
2022-08-14T12:00:00.000Z;0.912795
2022-08-14T14:00:00.000Z;0.783406
2022-08-14T16:00:00.000Z;0.586905
2022-08-14T18:00:00.000Z;0.585486
2022-08-14T20:00:00.000Z;0.732546
2022-08-14T22:00:00.000Z;0.79469
2022-08-15T00:00:00.000Z;0.657974
2022-08-15T02:00:00.000Z;0.646519
2022-08-15T04:00:00.000Z;0.447725
2022-08-15T06:00:00.000Z;0.673664
2022-08-15T08:00:00.000Z;1.73176
2022-08-15T10:00:00.000Z;1.489311
2022-08-15T12:00:00.000Z;0.983914
2022-08-15T14:00:00.000Z;0.850504
2022-08-15T16:00:00.000Z;0.653743
2022-08-15T18:00:00.000Z;0.659124
2022-08-15T20:00:00.000Z;0.799644
2022-08-15T22:00:00.000Z;0.706266
2022-08-16T00:00:00.000Z;0.489593
2022-08-16T02:00:00.000Z;0.529785
2022-08-16T04:00:00.000Z;0.38787
2022-08-16T06:00:00.000Z;0.116543
2022-08-16T08:00:00.000Z;0.864062
2022-08-16T10:00:00.000Z;0.981848
2022-08-16T12:00:00.000Z;0.734256
2022-08-16T14:00:00.000Z;0.769777
2022-08-16T16:00:00.000Z;0.679588
2022-08-16T18:00:00.000Z;0.360233
2022-08-16T20:00:00.000Z;0.511993
2022-08-16T22:00:00.000Z;0.402166
2022-08-17T00:00:00.000Z;0.317192
2022-08-17T02:00:00.000Z;0.054561
2022-08-17T04:00:00.000Z;-0.446084
2022-08-17T06:00:00.000Z;0.037028
2022-08-17T08:00:00.000Z;0.635304
2022-08-17T10:00:00.000Z;0.724786
2022-08-17T12:00:00.000Z;0.478009
2022-08-17T14:00:00.000Z;0.490371
